Date,Description,Amount,Note,Check Number, Category
05-26-2026,STRIPE TRANSFER ID NBR: ST-I0R3B7L4E1H3,"$69.83",,,
05-25-2026,JUNIOR LIVESTOCK AUCTI,"-$223.00",,,
05-24-2026,Cal Expo,"-$19.49",,,
05-24-2026,Cal Expo,"-$18.40",,,
05-24-2026,Cal Expo,"-$18.40",,,
05-21-2026,TESLA FINANCE LL TESLA FINA,"-$917.90",,,
05-19-2026,Mobile Check Deposit,"$250.00",,,
05-18-2026,STRIPE TRANSFER ID NBR: ST-L4I9Q0T2I0M2,"$162.52",,,
05-12-2026,TESLA MOTORS TESLA MOTO,"-$107.66",,,
05-11-2026,8344 POWER INN ROAD,"-$203.50",,,
05-11-2026,PAI ATM,"$0.00",,,
05-11-2026,ATM Fee Reimbursement,"$3.00",,,
05-11-2026,ATM Fee Reimbursement Reversal,"-$3.00",,,
05-11-2026,ATM Fee Reimbursement,"$3.00",,,
05-11-2026,STRIPE TRANSFER ID NBR: ST-P1M8K1F9W9W8,"$235.61",,,
05-07-2026,Mobile Check Deposit,"$1,253.28",,,
05-07-2026,PAI ATM,"-$304.00",,,
05-07-2026,ATM Fee Reimbursement,"$4.00",,,
05-04-2026,STRIPE TRANSFER ID NBR: ST-E9S4D8T6J8H4,"$77.82",,,
04-27-2026,STRIPE TRANSFER ID NBR: ST-I7K5T1C6P6B1,"$312.90",,,
04-21-2026,TESLA FINANCE LL TESLA FINA,"-$874.19",,,
04-20-2026,WAL-MART #5683,"-$111.23",,,
04-20-2026,PAI ATM,"-$104.00",,,
04-20-2026,ATM Fee Reimbursement,"$3.50",,,
04-20-2026,STRIPE TRANSFER ID NBR: ST-I1R5I1Q9M6V4,"$6.98",,,
04-13-2026,STRIPE TRANSFER ID NBR: ST-Y2D8K0Z0X4H8,"$69.87",,,
04-12-2026,DENNY'S #7369,"-$7.80",,,
04-11-2026,U.S. BANK,"-$503.50",,,
04-13-2026,ATM Fee Reimbursement,"$3.50",,,
04-10-2026,Mobile Check Deposit,"$250.00",,,
04-09-2026,Mobile Check Deposit,"$100.00",,,
04-09-2026,Mobile Check Deposit,"$403.50",,,
04-06-2026,STRIPE TRANSFER ID NBR: ST-G1A2I6P2X7A1,"$28.35",,,
04-03-2026,TESLA FINANCE LL TESLA FINA,"-$874.19",,,
03-30-2026,STRIPE TRANSFER ID NBR: ST-Q7N9V4P1O0T0,"$25.08",,,
03-26-2026,AMPM #2166  -M020199,"-$403.50",,,
03-26-2026,AMPM #2166  -M020199,"$0.00",,,
03-26-2026,ATM Fee Reimbursement,"$3.50",,,
03-23-2026,STRIPE TRANSFER ID NBR: ST-W0W8Q5Z9S7W5,"$208.80",,,
03-16-2026,Mobile Check Deposit,"$250.00",,,
03-16-2026,STRIPE TRANSFER ID NBR: ST-R3X4W9P1X4K8,"$214.31",,,
03-11-2026,Mobile Check Deposit,"$100.00",,,
03-09-2026,STRIPE TRANSFER ID NBR: ST-G8O8R6M2V0C5,"$27.00",,,
03-05-2026,VISTAPRINT,"-$124.71",,,
03-05-2026,SQ *PETERS STEAKHOUSE,"-$60.15",,,
03-03-2026,COROCOFFEEROOM.COM,"-$480.00",,,
03-03-2026,ECO DELIGHT COFF ACH Single ID NBR: 11360,"$10.00",,,
03-02-2026,WAV HILL TRIBE S 2645244552022 9168971766,"-$450.00",,,
03-02-2026,STRIPE TRANSFER ID NBR: ST-T9Z8G0T0T7L0,"$36.85",,,
02-27-2026,WAV HILL TRIBE S 2645226733814 9168971766,"-$628.56",,,
02-23-2026,STRIPE TRANSFER ID NBR: ST-O3P1W3S9A8X5,"$103.47",,,
02-18-2026,John Popham 7944,"$1,250.00",,,
02-17-2026,STRIPE TRANSFER ID NBR: ST-O4U2D3X2P4Y8,"$214.93",,,
02-13-2026,John Popham 7944,"$1,250.00",,,
02-13-2026,John Popham 7944,"$1,250.00",,,
02-12-2026,John Popham 7944,"$1,250.00",,,
02-10-2026,John Popham 7944,"$1,250.00",,,
02-10-2026,John Popham 7944,"$1,250.00",,,
02-09-2026,STRIPE TRANSFER ID NBR: ST-O0B4J6Y7I6D8,"$125.71",,,
01-30-2026,LIVE CAPTION  IN ACH Pmt Jan 2026 Live Caption Inc,"$75.00",,,
01-28-2026,GOOGLE 014696991 CREDIT ACCTVERIFY,"$0.19",,,
01-09-2026,WAV HILL TRIBE S 2644385708618 9168971766,"-$300.00",,,
01-06-2026,LIVE CAPTION  IN ACH Pmt Aug-Dec 2025,"$375.00",,,
01-06-2026,LIVE CAPTION  IN ACH Pmt Fall 2025 SOW,"$700.00",,,
01-05-2026,John Popham 7944,"$100.00",,,
01-05-2026,John Popham 7936,"$100.00",,,
